Disk radius 0.128 m, TANGENTIAL_SIGN +1, rotations valid (det=+1)
  Sensor1 (CS 8): DEVID=0xE5 OK
  Sensor2 (CS 7): DEVID=0xE5 OK
  Sensor3 (CS 5): DEVID=0xE5 OK
  Sensor4 (CS 6): DEVID=0xE5 OK
  calibration: loaded from disk_calib.json
  orientation: measured per board

  t(s)     alpha_x   alpha_y   alpha_z   |wz|    resid
    7.82    -3.022    +1.734    +7.000   0.956   0.057
    7.84    -2.444    +0.279    -2.355   0.860   0.106
    7.86    -0.704    -2.012    -6.024   0.960   0.055
    7.89    +2.242    -2.083    -4.389   1.248   0.031
    7.91    +0.480    -0.873    -1.593   1.288   0.079
    7.93    +0.721    +2.455    +2.702   1.222   0.058
    7.95    -3.462    +1.647    +9.326   0.966   0.070
    7.97    -3.289    -0.082    +5.452   0.940   0.073
    8.00    -1.460    -0.764    -2.478   0.543   0.065
    8.02    -1.055    -2.423    -8.786   0.657   0.052
    8.04    +3.714    +0.426    -3.461   1.175   0.081
    8.06    -0.954    +0.297    -4.369   1.126   0.057
    8.08    +2.153    +3.417    +3.485   1.264   0.081
    8.11    -5.062    -1.383    +7.496   1.083   0.068
    8.13    -0.422    -1.489    +2.055   0.740   0.060
    8.15    -3.259    -3.317    +1.025   0.418   0.122
    8.17    -0.272    -0.036    -6.842   0.804   0.050
    8.19    +0.556    +0.783    -5.049   1.034   0.074
    8.21    +2.236    +0.597    -4.488   1.130   0.046
    8.24    +0.634    +1.713    +6.746   1.251   0.064
    8.26    -2.871    -3.206    +4.807   0.833   0.047
    8.28    -2.086    +1.193    +5.236   0.730   0.063
    8.30    -2.741    -3.109    -3.826   0.502   0.090
    8.32    +1.361    +1.661    -5.164   0.904   0.068
    8.35    +0.888    +0.349    -6.383   1.156   0.058
    8.37    +1.858    +1.499    -3.063   1.174   0.050
    8.39    -0.272    -1.272    +3.237   1.210   0.053
    8.41    -2.220    -1.661   +10.256   1.002   0.042
    8.44    -1.738    -0.909    +1.055   0.795   0.055
    8.46    -4.274    +0.483    -5.133   0.843   0.064
    8.48    +3.590    +0.856    -6.079   1.240   0.040
    8.51    -0.446    -0.634    -4.480   1.192   0.031
    8.53    +3.242    -0.020    +4.276   1.402   0.077
    8.56    -3.328    -1.158    +4.833   0.971   0.068
    8.58    -2.135    +1.848    +1.763   0.836   0.101
    8.60    -3.470    -0.834    -8.821   1.068   0.095
    8.63    -0.875    +0.990    -5.877   1.223   0.038
    8.65    +2.633    -1.909    +2.528   1.403   0.098
    8.67    +0.415    +0.680    +8.079   1.215   0.036
    8.70    -0.958    -0.743    +4.582   1.024   0.114
    8.72    -3.807    +1.911    -5.056   0.870   0.044
    8.75    -0.731    -0.620    -6.907   1.104   0.067
    8.77    -1.189    -1.051    -3.720   1.273   0.053
    8.79    +3.164    -0.353    +4.412   1.409   0.085
    8.82    -1.094    -0.355    +7.223   1.177   0.052
    8.84    -0.781    +1.577    +1.276   1.058   0.098
    8.87    -4.760    +0.080    -9.073   0.898   0.032
    8.89    +0.776    -0.311    -4.199   1.288   0.042
    8.91    -0.497    -2.021    +2.216   1.261   0.121
    8.94    +0.705    -0.358    +7.818   1.214   0.040
    8.96    +0.072    +1.228    +7.522   1.059   0.038
    8.98    -1.701    +1.765    -4.920   0.840   0.117
    9.01    -0.364    -0.551    -7.487   1.088   0.029
    9.03    -1.801    -1.899    -1.875   1.117   0.042
    9.06    +1.215    -1.428    +0.642   1.246   0.097
    9.08    -1.325    +1.167    +9.469   1.141   0.023
    9.10    -0.672    +1.532    +2.872   0.952   0.064
