t_sec,alpha_x,alpha_y,alpha_z,omega_z_abs,residual_rms,a_c_x,a_c_y,a_c_z,s1_raw_x,s1_raw_y,s1_raw_z,s1_cal_x,s1_cal_y,s1_cal_z,s1_disk_x,s1_disk_y,s1_disk_z,s2_raw_x,s2_raw_y,s2_raw_z,s2_cal_x,s2_cal_y,s2_cal_z,s2_disk_x,s2_disk_y,s2_disk_z,s3_raw_x,s3_raw_y,s3_raw_z,s3_cal_x,s3_cal_y,s3_cal_z,s3_disk_x,s3_disk_y,s3_disk_z,s4_raw_x,s4_raw_y,s4_raw_z,s4_cal_x,s4_cal_y,s4_cal_z,s4_disk_x,s4_disk_y,s4_disk_z
0.5052,-1.075395,0.763024,-2.336553,1.214767,0.061301,-0.029183,-0.776547,9.781479,-0.0039,-0.1053,0.975,0.01418,-0.09906,0.98328,0.13908,-0.97148,9.64265,0.0546,0.0039,0.9165,0.01569,-0.03087,0.99433,-0.19238,-1.16751,9.68499,-0.0312,-0.0819,0.9906,-0.00106,-0.09598,1.00899,-0.25602,-0.60091,9.91796,0.0195,-0.0546,1.0101,0.05377,-0.07751,1.00397,0.19259,-0.36629,9.88032
0.5271,-1.136097,0.019506,-0.966528,1.102094,0.037882,-0.099167,-0.899133,9.768886,-0.0078,-0.117,0.975,0.01044,-0.1106,0.98328,0.1024,-1.08461,9.64265,0.0312,-0.0039,0.9204,-0.00708,-0.03837,0.99826,-0.26794,-0.95039,9.7472,-0.0312,-0.0663,0.9945,-0.00106,-0.08103,1.01292,-0.25204,-0.75157,9.9335,-0.0273,-0.0351,1.0023,0.00794,-0.05849,0.99613,0.02091,-0.80996,9.75219
0.5489,0.818958,-0.646684,7.522678,1.118766,0.10475,-0.312822,-0.993934,9.814801,-0.1365,-0.1209,1.0023,-0.11298,-0.11444,1.01134,-1.10793,-1.12232,9.91788,-0.0819,-0.0234,0.9243,-0.1171,-0.05711,1.00219,-0.46325,0.11646,9.89932,-0.1053,-0.0546,0.9711,-0.07289,-0.06983,0.98933,0.46099,-0.80364,9.70823,-0.1677,-0.0156,1.014,-0.12954,-0.03946,1.0079,-0.14109,-2.16624,9.73377
0.5708,-0.233721,-2.369543,7.940607,0.886901,0.107612,-0.13131,-1.111158,9.765909,-0.1521,-0.1248,0.9789,-0.12794,-0.11829,0.98729,-1.25464,-1.16003,9.68197,-0.039,-0.0039,0.9516,-0.07537,-0.03837,1.02969,-0.27193,-0.31629,10.12323,-0.1716,-0.039,0.975,-0.13717,-0.05489,0.99326,1.09474,-0.93581,9.74181,-0.156,-0.0195,0.9906,-0.11809,-0.04326,0.98436,-0.09341,-2.0325,9.51663
0.5926,0.985862,0.217363,0.148832,0.805235,0.020478,-0.107376,-0.842452,9.790715,-0.0273,-0.1014,1.0023,-0.00826,-0.09522,1.01134,-0.08098,-0.93377,9.91788,0.0156,0.0039,0.9204,-0.02225,-0.03087,0.99826,-0.19608,-0.80148,9.76192,-0.0468,-0.0624,0.9672,-0.01618,-0.0773,0.98539,-0.09623,-0.74164,9.6655,-0.0351,-0.0273,1.0101,0.00031,-0.05087,1.00397,-0.05622,-0.89292,9.81756
0.6144,-1.720138,0.374284,-1.097056,0.733739,0.05752,-0.109535,-0.864484,9.765083,-0.0195,-0.0936,0.9594,-0.00078,-0.08753,0.96724,-0.00763,-0.85834,9.48538,0.039,0.0078,0.9243,0.00051,-0.02712,1.00219,-0.15642,-1.02704,9.7767,-0.0234,-0.0624,0.9945,0.0065,-0.0773,1.01292,-0.32491,-0.78992,9.92574,-0.0234,-0.039,1.014,0.01176,-0.06229,1.0079,0.05081,-0.78263,9.87251
0.6363,-1.587684,1.360326,-6.498085,0.873461,0.04867,0.032508,-0.77862,9.731348,0.0819,-0.0897,0.9594,0.09646,-0.08368,0.96724,0.94597,-0.82063,9.48538,0.1014,0.0078,0.9126,0.06122,-0.02712,0.99041,-0.1511,-1.6071,9.59997,0.0234,-0.0741,0.9906,0.05187,-0.0885,1.00899,-0.77221,-0.68849,9.89183,0.0585,-0.0468,1.014,0.09197,-0.0699,1.0079,0.10737,0.00174,9.94821
0.6581,-0.94044,0.286647,-2.258211,0.947027,0.040013,-0.13807,-0.884666,9.804054,0.0039,-0.1092,0.975,0.02166,-0.10291,0.98328,0.21243,-1.00919,9.64265,0.0468,-0.0039,0.9282,0.0081,-0.03837,1.00612,-0.26543,-1.10638,9.80839,-0.0078,-0.0624,0.9906,0.02163,-0.0773,1.00899,-0.47217,-0.78831,9.88341,-0.0078,-0.0312,1.014,0.02704,-0.05468,1.0079,-0.02711,-0.63478,9.88177
0.6800,0.946767,-1.413484,-4.289449,0.940289,0.061241,-0.178035,-1.038413,9.816721,0.0156,-0.117,0.9984,0.03288,-0.1106,1.00733,0.32246,-1.08461,9.87856,0.1053,-0.0039,0.9594,0.06501,-0.03837,1.03755,-0.2558,-1.69337,10.05699,0.0195,-0.0546,0.9672,0.04809,-0.06983,0.98539,-0.72355,-0.83248,9.63619,0.0,-0.0273,0.9945,0.03468,-0.05087,0.98828,-0.05525,-0.54319,9.69514
0.7019,1.11713,-0.547311,6.798338,1.066844,0.085563,-0.264307,-1.108892,9.774181,-0.1443,-0.1209,0.9984,-0.12046,-0.11444,1.00733,-1.18128,-1.12232,9.87856,-0.0273,-0.0156,0.9282,-0.06398,-0.04962,1.00612,-0.38353,-0.40468,9.88285,-0.1209,-0.0507,0.9594,-0.08802,-0.06609,0.97753,0.61314,-0.81757,9.59258,-0.1599,-0.0195,1.014,-0.12191,-0.04326,1.0079,-0.10555,-2.091,9.74274
